C;gamma;tp;fp;tn;fn;accuracy;mcc
0.03125;0.0001220703125;2508;2604;1654;1750;0.4887293565313449;-0.012463158158573623
0.03125;0.00048828125;2329;669;3589;1929;0.694916045291356;0.42350213780787793
0.03125;0.001953125;3171;1168;3090;1087;0.7351974592653964;0.47328201519327756
0.03125;0.0078125;3556;1074;3184;702;0.7914451808892572;0.5918605285763465
0.03125;0.03125;3704;981;3277;554;0.8197470312068489;0.6488581118848339
0.03125;0.125;3944;2145;2113;314;0.7112499309582987;0.4607802941897569
0.03125;0.5;2508;2602;1656;1750;0.4889640983153825;-0.012224079282510252
0.03125;2.0;2508;2604;1654;1750;0.4887293565313449;-0.012463158158573623
0.125;0.0001220703125;2331;637;3621;1927;0.6989094172880421;0.4295141007103113
0.125;0.00048828125;3181;1183;3075;1077;0.7346097763048881;0.47215345167537565
0.125;0.001953125;3614;1000;3258;644;0.8069455951394643;0.6273474610784119
0.125;0.0078125;3738;743;3515;520;0.8516871030102182;0.7111645352898764
0.125;0.03125;3755;750;3508;503;0.8528632974316487;0.7104983971327233
0.125;0.125;3840;1303;2955;418;0.7979058271195802;0.6088105199233493
0.125;0.5;4185;3121;1137;73;0.6249442143054404;0.3460603764235628
0.125;2.0;2508;2603;1655;1750;0.4888467274233637;-0.012463158158573623
0.5;0.0001220703125;3183;1185;3073;1075;0.7346095001380835;0.4723953527507925
0.5;0.00048828125;3629;981;3277;629;0.8109395194697597;0.6330382336230111
0.5;0.001953125;3715;714;3544;543;0.8523918806959404;0.710660317542345
0.5;0.0078125;3781;704;3554;477;0.8613173156586578;0.731407925763149
0.5;0.03125;3806;732;3526;452;0.86096685998343;0.7311413680656207
0.5;0.125;3775;882;3376;483;0.8397058823529411;0.679439040872848
0.5;0.5;4026;1955;2303;232;0.7431850317591826;0.5257955051362317
0.5;2.0;4195;3270;988;63;0.6086230323115162;0.3080277992966453
2.0;0.0001220703125;3631;976;3282;627;0.8117622203811102;0.6339799044800182
2.0;0.00048828125;3692;703;3555;566;0.850982325324496;0.7098676774996788
2.0;0.001953125;3742;694;3564;516;0.857912731289699;0.7256154278528234
2.0;0.0078125;3800;697;3561;458;0.8643717205191936;0.7421663732591103
2.0;0.03125;3836;723;3535;422;0.8655479149406241;0.7404292893173572
2.0;0.125;3712;787;3471;546;0.843464236398785;0.6959879805582002
2.0;0.5;3679;1305;2953;579;0.7787630488815245;0.5666472059767629
2.0;2.0;3928;2209;2049;330;0.7018566694283347;0.4487063693386675
8.0;0.0001220703125;3685;705;3553;573;0.8499257111295222;0.7091530583266571
8.0;0.00048828125;3725;682;3576;533;0.8573242198287765;0.722819661303777
8.0;0.001953125;3780;694;3564;478;0.8623750345208505;0.7337931428767223
8.0;0.0078125;3820;706;3552;438;0.8656628003314001;0.752236481038429
8.0;0.03125;3756;715;3543;502;0.8570911350455676;0.7251312350163533
8.0;0.125;3597;796;3462;661;0.8289044462855564;0.6666945960915349
8.0;0.5;3619;1314;2944;639;0.770659762496548;0.5487601387968964
8.0;2.0;3919;2208;2050;339;0.7009165976249655;0.4446438375914028
32.0;0.0001220703125;3720;684;3574;538;0.8565020712510357;0.7218800192351338
32.0;0.00048828125;3747;681;3577;511;0.8600259596796466;0.7303856683625711
32.0;0.001953125;3801;695;3563;457;0.8647235570284451;0.7457903783840899
32.0;0.0078125;3836;706;3552;422;0.8675418392709195;0.753337779620789
32.0;0.03125;3649;719;3539;609;0.8440588235294119;0.7015750501396144
32.0;0.125;3516;852;3406;742;0.8128202154101076;0.6307034156863885
32.0;0.5;3604;1306;2952;654;0.7698389947528307;0.5439862358930522
32.0;2.0;3918;2211;2047;340;0.7004468378900855;0.44415349743107035
128.0;0.0001220703125;3733;678;3580;525;0.8587340513670256;0.7264806580997771
128.0;0.00048828125;3784;694;3564;474;0.8628450704225352;0.7380661768519533
128.0;0.001953125;3812;700;3558;446;0.8654288870477769;0.7522527215843493
128.0;0.0078125;3786;711;3547;472;0.8610814692074011;0.7377160744446152
128.0;0.03125;3543;724;3534;715;0.8310251311792323;0.6676843772671492
128.0;0.125;3461;867;3391;797;0.8046020436343552;0.6159136071108632
128.0;0.5;3598;1314;2944;660;0.7681946975973488;0.5425540650218988
128.0;2.0;3919;2212;2046;339;0.7004471140568903;0.4442745994081542
512.0;0.0001220703125;3748;678;3580;510;0.8604954432477216;0.730181818201522
512.0;0.00048828125;3806;696;3562;452;0.8651930405965202;0.7466076058706771
512.0;0.001953125;3837;703;3555;421;0.8680124275062138;0.7507822956093568
512.0;0.0078125;3687;693;3565;571;0.8515702844518088;0.7059450612748923
512.0;0.03125;3463;782;3476;795;0.8148213200773267;0.6343740154715214
512.0;0.125;3431;882;3376;827;0.7993195249930958;0.6094995657563725
512.0;0.5;3593;1315;2943;665;0.7674893675780171;0.5418897317975241
512.0;2.0;3919;2212;2046;339;0.7004471140568903;0.4442745994081542
2048.0;0.0001220703125;3784;689;3569;474;0.8634319248826292;0.7364869115829286
2048.0;0.00048828125;3809;703;3555;449;0.8647241093620547;0.7544825002837505
2048.0;0.001953125;3821;700;3558;437;0.8664843965755317;0.7447441805713125
2048.0;0.0078125;3589;701;3557;669;0.8391259320629659;0.6775483128361471
2048.0;0.03125;3386;826;3432;872;0.800617508975421;0.6095802786615149
2048.0;0.125;3425;888;3370;833;0.7979088649544325;0.6059670033109701
2048.0;0.5;3593;1315;2943;665;0.7674893675780171;0.5423205195227824
2048.0;2.0;3919;2212;2046;339;0.7004471140568903;0.4442745994081542
