C;gamma;tp;fp;tn;fn;accuracy;mcc
0.03125;0.0001220703125;1678;1730;2528;2580;0.4938956089478045;-0.012463158158573623
0.03125;0.00048828125;2206;523;3735;2052;0.6976249654791495;0.42350213780787793
0.03125;0.001953125;3169;1154;3104;1089;0.7366175089754211;0.47328201519327756
0.03125;0.0078125;3556;1044;3214;702;0.794981220657277;0.5918605285763465
0.03125;0.03125;3709;959;3299;549;0.8229273681303507;0.6488581118848339
0.03125;0.125;3960;2206;2052;298;0.7059676884838442;0.4607802941897569
0.03125;0.5;1678;1729;2529;2580;0.4940129798398233;-0.012224079282510252
0.03125;2.0;1678;1730;2528;2580;0.4938956089478045;-0.012463158158573623
0.125;0.0001220703125;2247;532;3726;2011;0.7013808340237503;0.4295141007103113
0.125;0.00048828125;3178;1168;3090;1080;0.7360312068489367;0.47215345167537565
0.125;0.001953125;3607;942;3316;651;0.812948080640707;0.6273474610784119
0.125;0.0078125;3722;696;3562;536;0.8553360950013807;0.7111645352898764
0.125;0.03125;3753;732;3526;505;0.8547473073736537;0.7104983971327233
0.125;0.125;3858;1328;2930;400;0.7970889257111295;0.6088105199233493
0.125;0.5;4196;3200;1058;62;0.6169563656448496;0.3460603764235628
0.125;2.0;1678;1730;2528;2580;0.4938956089478045;-0.012463158158573623
0.5;0.0001220703125;3180;1169;3089;1078;0.7361483015741508;0.4723953527507925
0.5;0.00048828125;3621;932;3326;637;0.8157660867163766;0.6330382336230111
0.5;0.001953125;3696;671;3587;562;0.8552178956089478;0.710660317542345
0.5;0.0078125;3783;672;3586;475;0.8653134493233914;0.731407925763149
0.5;0.03125;3806;698;3560;452;0.8649635459817728;0.7311413680656207
0.5;0.125;3771;891;3367;487;0.8381938690969346;0.679439040872848
0.5;0.5;4048;2022;2236;210;0.7379025131179232;0.5257955051362317
0.5;2.0;4203;3386;872;55;0.5959370339685169;0.3080277992966453
2.0;0.0001220703125;3623;930;3328;635;0.8162358464512565;0.6339799044800182
2.0;0.00048828125;3683;661;3597;575;0.8548657829328915;0.7098676774996788
2.0;0.001953125;3743;655;3603;515;0.8626141949737642;0.7256154278528234
2.0;0.0078125;3816;660;3598;442;0.8705987296326981;0.7421663732591103
2.0;0.03125;3831;684;3574;427;0.8695432201049433;0.7404292893173572
2.0;0.125;3726;767;3491;532;0.8474642363987849;0.6959879805582002
