C;gamma;tp;fp;tn;fn;accuracy;mcc
2.0;0.001953125;3743;690;3568;515;0.8585040044186689;0.7270597473824862
2.0;0.00232267014648969;3750;685;3573;508;0.859913835956918;0.7270835164797741
2.0;0.002762135864009951;3754;686;3572;504;0.8602665009665837;0.7297374281772042
2.0;0.003284751622084822;3758;685;3573;500;0.8608544600938967;0.7313890932028646
2.0;0.003906249999999999;3763;690;3568;495;0.8608544600938967;0.7333509373957491
2.0;0.004645340292979378;3765;696;3562;493;0.8603847003590168;0.735819810428044
2.0;0.005524271728019901;3778;698;3560;480;0.8616763325048329;0.7357892319038554
2.0;0.006569503244169643;3786;700;3558;472;0.8623819386909695;0.7379278580982422
2.0;0.0078124999999999965;3788;701;3557;470;0.8624993095829883;0.737342723684179
2.0;0.009290680585958756;3787;691;3567;471;0.8635559237779619;0.7402673231859496
2.0;0.0110485434560398;3797;698;3560;461;0.8639083126208229;0.7418063282702273
2.0;0.01313900648833928;3811;696;3562;447;0.8657876277271471;0.7437649147902432
2.0;0.015624999999999991;3812;708;3550;446;0.8644954432477215;0.7460760331825038
2.0;0.01858136117191751;3820;709;3549;438;0.8653181441590722;0.7458943286417604
2.0;0.0220970869120796;3821;716;3542;437;0.8646144711405691;0.7434047774399805
2.0;0.026278012976678568;3822;723;3535;436;0.8639099696216513;0.7418364181268636
2.0;0.031249999999999986;3818;721;3537;440;0.8636755040044186;0.7421062408787356
2.378414230005442;0.001953125;3745;689;3569;513;0.8588572217619441;0.7261197864938211
2.378414230005442;0.00232267014648969;3751;685;3573;507;0.8600312068489367;0.7280730449508638
2.378414230005442;0.002762135864009951;3756;685;3573;502;0.8606191659762497;0.7290652889362542
2.378414230005442;0.003284751622084822;3767;690;3568;491;0.8613233913283624;0.7330675534735639
2.378414230005442;0.003906249999999999;3766;693;3565;492;0.8608544600938968;0.7338495773510102
2.378414230005442;0.004645340292979378;3774;694;3564;484;0.8616755040044186;0.7350764674496705
2.378414230005442;0.005524271728019901;3784;696;3562;474;0.8626164043082021;0.7367601552337029
2.378414230005442;0.006569503244169643;3788;700;3558;470;0.8626166804750068;0.7386564391029257
2.378414230005442;0.0078124999999999965;3785;693;3565;473;0.8630867163766915;0.7399207421117565
2.378414230005442;0.009290680585958756;3788;696;3562;470;0.8630864402098869;0.7412985406231076
2.378414230005442;0.0110485434560398;3801;694;3564;457;0.8648478320905827;0.745137315943121
2.378414230005442;0.01313900648833928;3815;701;3557;443;0.8656694283347142;0.7473061160145839
2.378414230005442;0.015624999999999991;3818;707;3551;440;0.8653178679922673;0.7460760331825038
2.378414230005442;0.01858136117191751;3819;717;3541;439;0.8642615299640983;0.7452210510965287
2.378414230005442;0.0220970869120796;3824;718;3540;434;0.8647315658657829;0.7439204254974897
2.378414230005442;0.026278012976678568;3825;720;3538;433;0.8646150234741784;0.7418364181268636
2.378414230005442;0.031249999999999986;3817;721;3537;441;0.8635584092792048;0.740536701383368
2.82842712474619;0.001953125;3750;686;3572;508;0.8597959127312897;0.7280356501245964
2.82842712474619;0.00232267014648969;3756;686;3572;502;0.8605004142502072;0.7295220520263044
2.82842712474619;0.002762135864009951;3761;684;3574;497;0.8613231151615576;0.7314290910928531
2.82842712474619;0.003284751622084822;3770;688;3570;488;0.861910521955261;0.7342632217638951
