C;gamma;tp;fp;tn;fn;accuracy;mcc
2.0;0.001953125;3749;655;3603;509;0.8633178679922674;0.7270597473824862
2.0;0.00232267014648969;3751;657;3601;507;0.8633175918254625;0.7270835164797741
2.0;0.002762135864009951;3762;657;3601;496;0.8646083954708643;0.7297374281772042
2.0;0.003284751622084822;3766;654;3604;492;0.8654308202154102;0.7313890932028646
2.0;0.003906249999999999;3776;656;3602;482;0.8663708920187793;0.7333509373957491
2.0;0.004645340292979378;3789;659;3599;469;0.8675448771057719;0.735819810428044
2.0;0.005524271728019901;3787;657;3601;471;0.8675440486053578;0.7357892319038554
2.0;0.006569503244169643;3793;654;3604;465;0.8686014913007456;0.7379278580982422
2.0;0.0078124999999999965;3799;663;3595;459;0.8682482739574704;0.737342723684179
2.0;0.009290680585958756;3811;663;3595;447;0.8696583816625243;0.7402673231859496
2.0;0.0110485434560398;3821;667;3591;437;0.8703634355150511;0.7418063282702273
2.0;0.01313900648833928;3829;667;3591;429;0.8713021264843966;0.7437649147902432
2.0;0.015624999999999991;3843;672;3586;415;0.8723584645125655;0.7460760331825038
2.0;0.01858136117191751;3845;675;3583;413;0.872240817453742;0.7458943286417604
2.0;0.0220970869120796;3844;685;3573;414;0.8709475283070975;0.7434047774399805
2.0;0.026278012976678568;3844;692;3566;414;0.8701273128969899;0.7418364181268636
2.0;0.031249999999999986;3846;693;3565;412;0.8702468931234465;0.7421062408787356
2.378414230005442;0.001953125;3747;657;3601;511;0.8628478320905828;0.7261197864938211
2.378414230005442;0.00232267014648969;3757;659;3599;501;0.8637865230599282;0.7280730449508638
2.378414230005442;0.002762135864009951;3763;661;3597;495;0.8642562827948082;0.7290652889362542
2.378414230005442;0.003284751622084822;3772;653;3605;486;0.8662526926263464;0.7330675534735639
2.378414230005442;0.003906249999999999;3779;657;3601;479;0.866605633802817;0.7338495773510102
2.378414230005442;0.004645340292979378;3785;658;3600;473;0.8671916597624966;0.7350764674496705
2.378414230005442;0.005524271728019901;3791;657;3601;467;0.8680140845070422;0.7367601552337029
2.378414230005442;0.006569503244169643;3796;654;3604;462;0.8689536039768019;0.7386564391029257
2.378414230005442;0.0078124999999999965;3804;657;3601;454;0.8695396299364816;0.7399207421117565
2.378414230005442;0.009290680585958756;3818;666;3592;440;0.8701284175642087;0.7412985406231076
2.378414230005442;0.0110485434560398;3830;662;3596;428;0.8720066280033141;0.745137315943121
2.378414230005442;0.01313900648833928;3848;672;3586;410;0.8729464236398785;0.7473061160145839
2.378414230005442;0.015624999999999991;3843;672;3586;415;0.8723584645125655;0.7460760331825038
2.378414230005442;0.01858136117191751;3845;678;3580;413;0.871888428610881;0.7452210510965287
2.378414230005442;0.0220970869120796;3847;686;3572;411;0.8711830985915492;0.7439204254974897
2.378414230005442;0.026278012976678568;3844;692;3566;414;0.8701289698978183;0.7418364181268636
2.378414230005442;0.031249999999999986;3836;689;3569;422;0.8695423916045291;0.740536701383368
2.82842712474619;0.001953125;3754;656;3602;504;0.8637865230599282;0.7280356501245964
2.82842712474619;0.00232267014648969;3763;659;3599;495;0.8644910245788455;0.7295220520263044
2.82842712474619;0.002762135864009951;3769;657;3601;489;0.8654305440486054;0.7314290910928531
2.82842712474619;0.003284751622084822;3776;652;3606;482;0.8668403755868545;0.7342632217638951
2.82842712474619;0.003906249999999999;3790;656;3602;468;0.8680140845070422;0.7367447645256843
2.82842712474619;0.004645340292979378;3790;656;3602;468;0.8680143606738471;0.7367447645256843
2.82842712474619;0.005524271728019901;3795;651;3607;463;0.8691888980944491;0.7390955774309992
2.82842712474619;0.006569503244169643;3796;658;3600;462;0.8684835680751174;0.7377477155409233
2.82842712474619;0.0078124999999999965;3815;663;3595;443;0.870128141397404;0.741243685786784
2.82842712474619;0.009290680585958756;3826;663;3595;432;0.8714194973764154;0.743932572578272
2.82842712474619;0.0110485434560398;3834;665;3593;424;0.8721239988953327;0.7454410876009916
2.82842712474619;0.01313900648833928;3844;667;3591;414;0.8730635183650926;0.7474455163604027
2.82842712474619;0.015624999999999991;3848;674;3584;410;0.8727103010218171;0.7468572705494513
2.82842712474619;0.01858136117191751;3848;679;3579;410;0.8721223418945044;0.7457357679501114
2.82842712474619;0.0220970869120796;3853;684;3574;405;0.8721242750621375;0.7458489453894848
2.82842712474619;0.026278012976678568;3844;688;3570;414;0.8705992819663078;0.7427324164775818
2.82842712474619;0.031249999999999986;3831;690;3568;427;0.8688387185860259;0.7390814310718946
