age,bool_admin,bool_blue, bool_entrep, bool_housemaid,bool_management,bool_retired,bool_self, bool_services,bool_student, bool_tech, bool_unempl, bool_single, bool_married, bool_divorced,education, housing, loan, contact, month, day_of_week, duration, campaign, pdays, previous, bool_nonexistant, bool_fail, bool_success, empvarrate, conspriceidx, consconfidx, euribor, nremployed, class
56,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,261,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,0,149,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,4,0,226,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,151,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,1,0,4,0,307,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
45,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,4,0,198,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,4,0,139,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0,4,0,380,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,4,0,50,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,4,0,222,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
29,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,4,0,137,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
57,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,293,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,0,146,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,1,0,4,0,174,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,0,312,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
46,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,4,0,440,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
50,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,4,0,353,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,195,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,4,0,38,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,262,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
55,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,4,0,342,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
41,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,4,0,181,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,4,0,172,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
35,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,1,0,4,0,99,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
39,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,4,0,233,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,4,0,255,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,230,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
54,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,208,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
34,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,4,0,365,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
52,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,4,0,1666,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
41,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,577,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
56,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,4,0,137,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
32,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,4,0,314,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,4,0,160,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
57,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,4,0,212,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,4,0,188,1,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
